zoneID,startTime,endTime,dt
1192509,2015-07-01 19:25:59.632,2015-07-01 19:25:59.648,16
1191112,2015-07-01 19:26:00.321,2015-07-01 19:26:00.322,1
1192508,2015-07-01 19:26:00.441,2015-07-01 19:26:00.455,14
1191113,2015-07-01 19:26:00.752,2015-07-01 19:26:00.775,23
1192510,2015-07-01 19:26:00.89,2015-07-01 19:26:00.959,69
1191108,2015-07-01 19:26:01.256,2015-07-01 19:26:01.336,80
1191107,2015-07-01 19:26:01.664,2015-07-01 19:26:01.773,109
1192511,2015-07-01 19:26:01.961,2015-07-01 19:26:01.961,0
1191109,2015-07-01 19:26:02.663,2015-07-01 19:26:02.694,31
1191911,2015-07-01 19:26:02.82,2015-07-01 19:26:02.882,62
1191910,2015-07-01 19:26:04.475,2015-07-01 19:26:04.49,15
1191006,2015-07-01 19:26:04.588,2015-07-01 19:26:04.619,31
1191007,2015-07-01 19:26:04.759,2015-07-01 19:26:04.759,0
1191004,2015-07-01 19:26:05.162,2015-07-01 19:26:05.163,1
1191005,2015-07-01 19:26:05.639,2015-07-01 19:26:05.655,16
1191002,2015-07-01 19:26:06.233,2015-07-01 19:26:06.264,31
1191003,2015-07-01 19:26:06.654,2015-07-01 19:26:06.654,0
1191001,2015-07-01 19:26:06.989,2015-07-01 19:26:07.042,53
1182402,2015-07-01 19:26:07.675,2015-07-01 19:26:07.774,99
1191101,2015-07-01 19:26:07.976,2015-07-01 19:26:07.992,16
1182403,2015-07-01 19:26:08.164,2015-07-01 19:26:08.195,31
1191102,2015-07-01 19:26:08.523,2015-07-01 19:26:08.539,16
1182404,2015-07-01 19:26:08.901,2015-07-01 19:26:08.916,15
1182405,2015-07-01 19:26:09.244,2015-07-01 19:26:09.244,0
1191105,2015-07-01 19:26:09.463,2015-07-01 19:26:09.479,16
1191106,2015-07-01 19:26:09.591,2015-07-01 19:26:09.607,16
1191103,2015-07-01 19:26:10.281,2015-07-01 19:26:10.297,16
1192009,2015-07-01 19:26:10.421,2015-07-01 19:26:10.499,78
1182401,2015-07-01 19:26:10.861,2015-07-01 19:26:10.893,32
1191104,2015-07-01 19:26:11.996,2015-07-01 19:26:12.254,258
1192012,2015-07-01 19:26:13.463,2015-07-01 19:26:13.474,11
1192013,2015-07-01 19:26:13.853,2015-07-01 19:26:13.866,13
1192010,2015-07-01 19:26:14.173,2015-07-01 19:26:14.191,18
1192011,2015-07-01 19:26:14.812,2015-07-01 19:26:14.823,11
1181011,2015-07-01 19:26:15.477,2015-07-01 19:26:15.619,142
1181010,2015-07-01 19:26:17.003,2015-07-01 19:26:17.014,11
1182411,2015-07-01 19:26:17.335,2015-07-01 19:26:17.376,41
1181209,2015-07-01 19:26:19.106,2015-07-01 19:26:19.13,24
1182412,2015-07-01 19:26:19.244,2015-07-01 19:26:19.251,7
1181208,2015-07-01 19:26:19.457,2015-07-01 19:26:19.463,6
1181207,2015-07-01 19:26:19.914,2015-07-01 19:26:20.005,91
1181012,2015-07-01 19:26:20.318,2015-07-01 19:26:20.342,24
1182410,2015-07-01 19:26:20.605,2015-07-01 19:26:20.716,111
1192005,2015-07-01 19:26:20.97,2015-07-01 19:26:20.99,20
1191401,2015-07-01 19:26:21.176,2015-07-01 19:26:21.408,232
1190513,2015-07-01 19:26:21.912,2015-07-01 19:26:21.941,29
1192006,2015-07-01 19:26:22.114,2015-07-01 19:26:22.126,12
1190514,2015-07-01 19:26:22.421,2015-07-01 19:26:22.438,17
1192007,2015-07-01 19:26:22.748,2015-07-01 19:26:22.759,11
1191403,2015-07-01 19:26:23.076,2015-07-01 19:26:23.092,16
1190515,2015-07-01 19:26:24.322,2015-07-01 19:26:24.766,444
1192008,2015-07-01 19:26:25.942,2015-07-01 19:26:25.971,29
1191402,2015-07-01 19:26:26.431,2015-07-01 19:26:26.442,11
1192001,2015-07-01 19:26:26.939,2015-07-01 19:26:26.957,18
1181212,2015-07-01 19:26:27.42,2015-07-01 19:26:27.427,7
1182409,2015-07-01 19:26:27.813,2015-07-01 19:26:27.825,12
1192002,2015-07-01 19:26:28.46,2015-07-01 19:26:28.648,188
1181213,2015-07-01 19:26:29.09,2015-07-01 19:26:29.103,13
1182408,2015-07-01 19:26:29.36,2015-07-01 19:26:29.438,78
1192003,2015-07-01 19:26:30.012,2015-07-01 19:26:30.105,93
1181210,2015-07-01 19:26:30.987,2015-07-01 19:26:31.0,13
1181009,2015-07-01 19:26:31.423,2015-07-01 19:26:31.429,6
1182407,2015-07-01 19:26:31.592,2015-07-01 19:26:31.623,31
1192004,2015-07-01 19:26:32.463,2015-07-01 19:26:32.503,40
1181211,2015-07-01 19:26:32.67,2015-07-01 19:26:32.682,12
1182406,2015-07-01 19:26:33.082,2015-07-01 19:26:33.089,7
